"Step","mac_fw1b_l12_baseline_s1337:train - train/loss","mac_fw1b_l12_baseline_s1337:train - train/loss__MIN","mac_fw1b_l12_baseline_s1337:train - train/loss__MAX"
"1530","5.09375","5.09375","5.09375"
"1540","5.125","5.125","5.125"
"1550","5.0859375","5.0859375","5.0859375"
"1560","5.15625","5.15625","5.15625"
"1570","5.0625","5.0625","5.0625"
"1580","5.03125","5.03125","5.03125"
"1590","5.0703125","5.0703125","5.0703125"
"1600","4.9921875","4.9921875","4.9921875"
"1610","5.140625","5.140625","5.140625"
"1620","5.1171875","5.1171875","5.1171875"
"1630","5.0234375","5.0234375","5.0234375"
"1640","5.09375","5.09375","5.09375"
"1650","5.15625","5.15625","5.15625"
"1660","5.140625","5.140625","5.140625"
"1670","5.1640625","5.1640625","5.1640625"
"1680","5.078125","5.078125","5.078125"
"1690","4.9140625","4.9140625","4.9140625"
"1700","5.1171875","5.1171875","5.1171875"
"1710","4.8984375","4.8984375","4.8984375"
"1720","5.2109375","5.2109375","5.2109375"
"1730","4.96875","4.96875","4.96875"
"1740","4.9765625","4.9765625","4.9765625"
"1750","5.0703125","5.0703125","5.0703125"
"1760","5.0234375","5.0234375","5.0234375"
"1770","5.0703125","5.0703125","5.0703125"
"1780","4.90625","4.90625","4.90625"
"1790","5.0078125","5.0078125","5.0078125"
"1800","5.0546875","5.0546875","5.0546875"
"1810","5","5","5"
"1820","4.7578125","4.7578125","4.7578125"
"1830","4.90625","4.90625","4.90625"
"1840","4.9453125","4.9453125","4.9453125"
"1850","4.90625","4.90625","4.90625"
"1860","4.8203125","4.8203125","4.8203125"
"1870","4.9921875","4.9921875","4.9921875"
"1880","4.9140625","4.9140625","4.9140625"
"1890","4.8984375","4.8984375","4.8984375"
"1900","4.921875","4.921875","4.921875"
"1910","4.890625","4.890625","4.890625"
"1920","4.875","4.875","4.875"
"1930","5.015625","5.015625","5.015625"
"1940","4.84375","4.84375","4.84375"
"1950","4.8359375","4.8359375","4.8359375"
"1960","4.7578125","4.7578125","4.7578125"
"1970","5.0078125","5.0078125","5.0078125"
"1980","4.9375","4.9375","4.9375"
"1990","4.953125","4.953125","4.953125"
"2000","4.6640625","4.6640625","4.6640625"
"2010","4.8515625","4.8515625","4.8515625"
"2020","4.8828125","4.8828125","4.8828125"
"2030","4.7734375","4.7734375","4.7734375"
"2040","4.8046875","4.8046875","4.8046875"
"2050","4.8359375","4.8359375","4.8359375"
"2060","4.8828125","4.8828125","4.8828125"
"2070","4.8125","4.8125","4.8125"
"2080","4.90625","4.90625","4.90625"
"2090","4.78125","4.78125","4.78125"
"2100","4.8203125","4.8203125","4.8203125"
"2110","4.8125","4.8125","4.8125"
"2120","4.9140625","4.9140625","4.9140625"
"2130","4.7734375","4.7734375","4.7734375"
"2140","4.859375","4.859375","4.859375"
"2150","4.8515625","4.8515625","4.8515625"
"2160","4.7734375","4.7734375","4.7734375"
"2170","4.859375","4.859375","4.859375"
"2180","4.859375","4.859375","4.859375"
"2190","4.7890625","4.7890625","4.7890625"
"2200","4.765625","4.765625","4.765625"
"2210","4.7421875","4.7421875","4.7421875"
"2220","4.7578125","4.7578125","4.7578125"
"2230","4.8671875","4.8671875","4.8671875"
"2240","4.7578125","4.7578125","4.7578125"
"2250","4.7109375","4.7109375","4.7109375"
"2260","4.8046875","4.8046875","4.8046875"
"2270","4.6640625","4.6640625","4.6640625"
"2280","4.8359375","4.8359375","4.8359375"
"2290","4.75","4.75","4.75"
"2300","4.75","4.75","4.75"
"2310","4.71875","4.71875","4.71875"
"2320","4.7734375","4.7734375","4.7734375"
"2330","4.796875","4.796875","4.796875"
"2340","4.5546875","4.5546875","4.5546875"
"2350","4.7421875","4.7421875","4.7421875"
"2360","4.71875","4.71875","4.71875"
"2370","4.8203125","4.8203125","4.8203125"
"2380","4.5703125","4.5703125","4.5703125"
"2390","4.703125","4.703125","4.703125"
"2400","4.7265625","4.7265625","4.7265625"
"2410","4.703125","4.703125","4.703125"
"2420","4.6640625","4.6640625","4.6640625"
"2430","4.7421875","4.7421875","4.7421875"
"2440","4.6796875","4.6796875","4.6796875"
"2450","4.7578125","4.7578125","4.7578125"
"2460","4.6875","4.6875","4.6875"
"2470","4.6015625","4.6015625","4.6015625"
"2480","4.6875","4.6875","4.6875"
"2490","4.734375","4.734375","4.734375"
"2500","4.625","4.625","4.625"
"2510","4.6015625","4.6015625","4.6015625"
"2520","4.6640625","4.6640625","4.6640625"
"2530","4.6796875","4.6796875","4.6796875"
"2540","4.5546875","4.5546875","4.5546875"
"2550","4.703125","4.703125","4.703125"
"2560","4.671875","4.671875","4.671875"
"2570","4.625","4.625","4.625"
"2580","4.6015625","4.6015625","4.6015625"
"2590","4.6875","4.6875","4.6875"
"2600","4.6015625","4.6015625","4.6015625"
"2610","4.5546875","4.5546875","4.5546875"
"2620","4.5703125","4.5703125","4.5703125"
"2630","4.71875","4.71875","4.71875"
